Restaurant_ID,Restaurant_Name,City,ZipCode,Cuisine_Type,Rating,Description,PHONE_NUMBER,DISCOUNT
54,Spice Palace,Rajkot,272840,Kashmiri,4.5,Family-friendly,054-054-0054,12
55,Bengali Bites,Rajkot,839673,North Indian,3.5,Cozy atmosphere,055-055-0055,16
56,Kashmiri Kitchen,Rajkot,183787,North Indian,3.8,Cozy atmosphere,056-056-0056,11
57,Tandoori Treats,Kaithal,176444,Kashmiri,4.7,Family-friendly,057-057-0057,20
58,Andhra Aromas,Kaithal,934414,Punjabi,4.7,Authentic cuisine,058-058-0058,12
59,Mughalai Magic,Kaithal,354073,South Indian,4.3,Great views,059-059-0059,18
60,Bengali Bites,Kaithal,983793,North Indian,3.5,Cozy atmosphere,060-060-0060,18
61,Mughalai Magic,Botad,271477,North Indian,4.0,Cozy atmosphere,061-061-0061,15
62,Uttar Pradesh Delights,Botad,869971,South Indian,3.3,Great views,062-062-0062,12
63,Paneer Paradise,Botad,892810,Kashmiri,3.1,Family-friendly,063-063-0063,12
64,Dosa Delights,Botad,288368,South Indian,4.7,Great views,064-064-0064,13
65,Paneer Paradise,Rayagada,713729,North Indian,3.0,Cozy atmosphere,065-065-0065,16
66,Spice Palace,Rayagada,301985,South Indian,4.9,Great views,066-066-0066,14
67,Samosa Street,Rayagada,598964,Kashmiri,3.0,Family-friendly,067-067-0067,20
68,Rajasthani Ruchira,Rayagada,301168,North Indian,3.5,Cozy atmosphere,068-068-0068,16
69,Punjab Spice,Churu,709600,Punjabi,3.9,Authentic cuisine,069-069-0069,20
70,Andhra Aromas,Churu,930924,South Indian,4.4,Great views,070-070-0070,12
71,Tandoori Treats,Churu,909687,South Indian,3.0,Great views,071-071-0071,15
72,Bengali Bites,Churu,784808,South Indian,5.0,Great views,072-072-0072,14
73,Samosa Street,Kochi,926253,North Indian,3.6,Cozy atmosphere,073-073-0073,16
74,Namaste Kitchen,Kochi,101002,Kashmiri,4.9,Family-friendly,074-074-0074,15
75,Paneer Paradise,Kochi,565784,Punjabi,3.0,Authentic cuisine,075-075-0075,20
76,Rajasthani Ruchira,Kochi,556343,Punjabi,3.3,Authentic cuisine,076-076-0076,14
77,Punjab Spice,Diu,222858,Kashmiri,4.4,Family-friendly,077-077-0077,10
78,Royal Tandoor,Diu,555111,South Indian,4.4,Great views,078-078-0078,20
79,Punjab Spice,Diu,751336,Kashmiri,4.6,Family-friendly,079-079-0079,13
80,Samosa Street,Diu,758330,Punjabi,3.3,Authentic cuisine,080-080-0080,17
81,Kashmiri Kitchen,Arrah,107757,North Indian,3.8,Cozy atmosphere,081-081-0081,12
82,Uttar Pradesh Delights,Arrah,796658,Punjabi,3.3,Authentic cuisine,082-082-0082,20
83,Taste of India,Arrah,177534,North Indian,4.3,Cozy atmosphere,083-083-0083,10
84,Spice Palace,Arrah,458088,North Indian,3.8,Cozy atmosphere,084-084-0084,15
85,Spice Palace,Yeshwanthpur,950675,North Indian,4.9,Cozy atmosphere,085-085-0085,19
86,Tandoori Treats,Yeshwanthpur,611063,Kashmiri,3.9,Family-friendly,086-086-0086,16
87,Dosa Delights,Yeshwanthpur,954371,Punjabi,4.2,Authentic cuisine,087-087-0087,11
88,Rajasthani Ruchira,Yeshwanthpur,180878,Kashmiri,3.7,Family-friendly,088-088-0088,17
89,Kashmiri Kitchen,Kanchipuram,205184,North Indian,4.7,Cozy atmosphere,089-089-0089,18
90,Dosa Delights,Kanchipuram,992961,Punjabi,3.6,Authentic cuisine,090-090-0090,12
91,Tandoori Treats,Kanchipuram,882509,Punjabi,4.9,Authentic cuisine,091-091-0091,11
92,Royal Tandoor,Kanchipuram,573658,Punjabi,3.7,Authentic cuisine,092-092-0092,10
93,Gujarati Grace,Hoja,346195,Punjabi,4.9,Authentic cuisine,093-093-0093,14
94,Curry House,Hoja,855041,North Indian,3.9,Cozy atmosphere,094-094-0094,11
95,Andhra Aromas,Hoja,507039,Punjabi,4.5,Authentic cuisine,095-095-0095,13
96,Rajasthani Ruchira,Hoja,412154,North Indian,3.7,Cozy atmosphere,096-096-0096,20
97,Dosa Delights,Leh,977746,Kashmiri,4.8,Family-friendly,097-097-0097,11
98,Biryani Bliss,Leh,123075,North Indian,3.7,Cozy atmosphere,098-098-0098,19
99,Samosa Street,Leh,917163,South Indian,3.7,Great views,099-099-0099,19
100,Tandoori Treats,Leh,346488,Kashmiri,4.5,Family-friendly,100-100-0100,18
101,Kashmiri Kitchen,Aizawl,609013,Kashmiri,4.2,Family-friendly,101-101-0101,13
102,Mughalai Magic,Aizawl,485812,Punjabi,4.8,Authentic cuisine,102-102-0102,11
103,Paneer Paradise,Aizawl,718581,Kashmiri,4.0,Family-friendly,103-103-0103,13
104,Tandoori Treats,Aizawl,354800,South Indian,3.6,Great views,104-104-0104,13
105,Taste of India,Barnala,784907,North Indian,4.9,Cozy atmosphere,105-105-0105,12
106,Bengali Bites,Barnala,132726,North Indian,3.4,Cozy atmosphere,106-106-0106,17
107,Andhra Aromas,Barnala,186166,South Indian,3.9,Great views,107-107-0107,11
108,Paneer Paradise,Barnala,553230,Kashmiri,4.7,Family-friendly,108-108-0108,15
109,Flavors of India,Bomdila,434728,South Indian,4.0,Great views,109-109-0109,15
110,Samosa Street,Bomdila,130844,Kashmiri,4.4,Family-friendly,110-110-0110,10
111,Royal Tandoor,Bomdila,536989,Kashmiri,3.8,Family-friendly,111-111-0111,10
112,Mughalai Magic,Bomdila,555504,Punjabi,4.1,Authentic cuisine,112-112-0112,18
113,Paneer Paradise,Bettiah,548693,Kashmiri,4.0,Family-friendly,113-113-0113,14
114,Uttar Pradesh Delights,Bettiah,475499,Punjabi,3.2,Authentic cuisine,114-114-0114,14
115,Tandoori Treats,Bettiah,690721,North Indian,4.6,Cozy atmosphere,115-115-0115,19
116,Andhra Aromas,Bettiah,746269,South Indian,4.6,Great views,116-116-0116,17
117,Royal Tandoor,Aurangabad,263668,North Indian,4.8,Cozy atmosphere,117-117-0117,15
118,Royal Tandoor,Aurangabad,341298,Kashmiri,3.1,Family-friendly,118-118-0118,20
119,Dosa Delights,Aurangabad,341444,Punjabi,4.9,Authentic cuisine,119-119-0119,19
120,Bengali Bites,Aurangabad,624274,Kashmiri,4.5,Family-friendly,120-120-0120,16
121,Samosa Street,Cooch Behar,782454,North Indian,4.4,Cozy atmosphere,121-121-0121,17
122,Flavors of India,Cooch Behar,683183,Punjabi,4.9,Authentic cuisine,122-122-0122,16
123,Curry House,Cooch Behar,889992,Punjabi,4.8,Authentic cuisine,123-123-0123,19
124,Dosa Delights,Cooch Behar,696207,Punjabi,3.0,Authentic cuisine,124-124-0124,14
125,Punjab Spice,Kolhapur,785051,South Indian,4.6,Great views,125-125-0125,19
126,Namaste Kitchen,Kolhapur,246022,North Indian,4.0,Cozy atmosphere,126-126-0126,12
127,Chaat Corner,Kolhapur,832928,Punjabi,3.6,Authentic cuisine,127-127-0127,17
128,Mughalai Magic,Kolhapur,210413,South Indian,4.7,Great views,128-128-0128,18
129,Uttar Pradesh Delights,Nashik,123780,Punjabi,3.8,Authentic cuisine,129-129-0129,13
130,Samosa Street,Nashik,360182,Kashmiri,5.0,Family-friendly,130-130-0130,16
131,Biryani Bliss,Nashik,630583,North Indian,5.0,Cozy atmosphere,131-131-0131,17
132,Tandoori Treats,Nashik,100070,North Indian,4.3,Cozy atmosphere,132-132-0132,19
133,Dosa Delights,Satara,874285,North Indian,4.7,Cozy atmosphere,133-133-0133,15
134,Kashmiri Kitchen,Satara,256562,South Indian,3.5,Great views,134-134-0134,11
135,Chaat Corner,Satara,761079,South Indian,4.7,Great views,135-135-0135,20
136,Royal Tandoor,Satara,919877,Punjabi,4.8,Authentic cuisine,136-136-0136,11
137,Rajasthani Ruchira,Valsad,922048,North Indian,4.9,Cozy atmosphere,137-137-0137,12
138,Samosa Street,Valsad,623825,South Indian,3.1,Great views,138-138-0138,13
139,Curry House,Valsad,489930,South Indian,3.1,Great views,139-139-0139,20
140,Biryani Bliss,Valsad,244674,North Indian,4.7,Cozy atmosphere,140-140-0140,17
141,Spice Palace,Nahan,714280,South Indian,4.4,Great views,141-141-0141,20
142,Biryani Bliss,Nahan,138102,North Indian,3.5,Cozy atmosphere,142-142-0142,15
143,Kashmiri Kitchen,Nahan,930865,North Indian,4.2,Cozy atmosphere,143-143-0143,11
144,Punjab Spice,Nahan,230677,South Indian,4.1,Great views,144-144-0144,14
145,Samosa Street,Bilasipara,261713,Punjabi,4.4,Authentic cuisine,145-145-0145,14
146,Mughalai Magic,Bilasipara,751094,Kashmiri,3.4,Family-friendly,146-146-0146,13
147,Mughalai Magic,Bilasipara,417853,Punjabi,3.2,Authentic cuisine,147-147-0147,11
148,Mughalai Magic,Bilasipara,544017,South Indian,4.8,Great views,148-148-0148,14
149,Paneer Paradise,Tindivanam,903833,Punjabi,4.7,Authentic cuisine,149-149-0149,14
150,Punjab Spice,Tindivanam,935288,South Indian,3.5,Great views,150-150-0150,15
151,Chaat Corner,Tindivanam,722061,North Indian,4.2,Cozy atmosphere,151-151-0151,18
152,Spice Palace,Tindivanam,722511,Punjabi,4.6,Authentic cuisine,152-152-0152,12
153,Curry House,Thoubal,177310,Kashmiri,3.6,Family-friendly,153-153-0153,20
154,Paneer Paradise,Thoubal,632708,Kashmiri,4.0,Family-friendly,154-154-0154,19
155,Taste of India,Thoubal,438331,South Indian,3.2,Great views,155-155-0155,18
156,Paneer Paradise,Thoubal,779231,Punjabi,3.7,Authentic cuisine,156-156-0156,15
157,Tandoori Treats,Jagtial,910470,North Indian,3.9,Cozy atmosphere,157-157-0157,11
158,Mughalai Magic,Jagtial,839010,North Indian,4.9,Cozy atmosphere,158-158-0158,10
159,Flavors of India,Jagtial,513221,Kashmiri,4.2,Family-friendly,159-159-0159,20
160,Dosa Delights,Jagtial,722727,North Indian,3.4,Cozy atmosphere,160-160-0160,16
161,Uttar Pradesh Delights,Mamit,249176,North Indian,4.9,Cozy atmosphere,161-161-0161,19
162,Bengali Bites,Mamit,309524,North Indian,4.5,Cozy atmosphere,162-162-0162,19
163,Samosa Street,Mamit,471316,Kashmiri,3.5,Family-friendly,163-163-0163,17
164,Tandoori Treats,Mamit,254222,South Indian,3.1,Great views,164-164-0164,11
165,Uttar Pradesh Delights,Diglipur,269668,South Indian,3.0,Great views,165-165-0165,19
166,Flavors of India,Diglipur,476452,North Indian,4.9,Cozy atmosphere,166-166-0166,13
167,Samosa Street,Diglipur,140529,South Indian,3.0,Great views,167-167-0167,11
168,Punjab Spice,Diglipur,579283,North Indian,3.4,Cozy atmosphere,168-168-0168,11
169,Gujarati Grace,Nagrota,476698,Punjabi,4.6,Authentic cuisine,169-169-0169,16
170,Punjab Spice,Nagrota,539532,Punjabi,3.6,Authentic cuisine,170-170-0170,14
171,Punjab Spice,Nagrota,268076,Punjabi,3.5,Authentic cuisine,171-171-0171,16
172,Punjab Spice,Nagrota,741403,Punjabi,4.8,Authentic cuisine,172-172-0172,15
173,Flavors of India,Jalna,252785,Kashmiri,4.6,Family-friendly,173-173-0173,19
174,Rajasthani Ruchira,Jalna,347277,South Indian,4.9,Great views,174-174-0174,12
175,Mughalai Magic,Jalna,828408,Punjabi,4.9,Authentic cuisine,175-175-0175,20
176,Samosa Street,Jalna,612181,Punjabi,3.3,Authentic cuisine,176-176-0176,12
177,Gujarati Grace,Bhadrak,132493,Punjabi,4.3,Authentic cuisine,177-177-0177,13
178,Spice Palace,Bhadrak,754356,South Indian,3.1,Great views,178-178-0178,17
179,Chaat Corner,Bhadrak,612844,South Indian,4.4,Great views,179-179-0179,10
180,Curry House,Bhadrak,170268,South Indian,4.3,Great views,180-180-0180,14
181,Mughalai Magic,Karauli,886523,South Indian,4.2,Great views,181-181-0181,14
182,Dosa Delights,Karauli,483008,Kashmiri,4.7,Family-friendly,182-182-0182,12
183,Samosa Street,Karauli,728223,South Indian,4.9,Great views,183-183-0183,16
184,Gujarati Grace,Karauli,963734,Punjabi,3.5,Authentic cuisine,184-184-0184,10
185,Gujarati Grace,Ratnagiri,716263,Kashmiri,4.4,Family-friendly,185-185-0185,16
186,Andhra Aromas,Ratnagiri,365939,Kashmiri,3.4,Family-friendly,186-186-0186,12
187,Kashmiri Kitchen,Ratnagiri,329979,Kashmiri,4.1,Family-friendly,187-187-0187,17
188,Andhra Aromas,Ratnagiri,992014,South Indian,4.5,Great views,188-188-0188,20
189,Punjab Spice,Qazigund,662733,Punjabi,3.6,Authentic cuisine,189-189-0189,15
190,Curry House,Qazigund,848872,North Indian,4.3,Cozy atmosphere,190-190-0190,19
191,Royal Tandoor,Qazigund,940356,North Indian,3.8,Cozy atmosphere,191-191-0191,15
192,Uttar Pradesh Delights,Qazigund,969684,Kashmiri,4.5,Family-friendly,192-192-0192,18
193,Namaste Kitchen,Asansol,786469,North Indian,3.6,Cozy atmosphere,193-193-0193,17
194,Chaat Corner,Asansol,659391,Kashmiri,3.3,Family-friendly,194-194-0194,13
195,Biryani Bliss,Asansol,806962,Punjabi,3.4,Authentic cuisine,195-195-0195,13
196,Paneer Paradise,Asansol,546183,South Indian,4.9,Great views,196-196-0196,20
197,Royal Tandoor,Sikar,962651,South Indian,3.6,Great views,197-197-0197,15
198,Bengali Bites,Sikar,126826,Punjabi,4.6,Authentic cuisine,198-198-0198,15
199,Tandoori Treats,Sikar,395746,Kashmiri,3.9,Family-friendly,199-199-0199,18
200,Spice Palace,Sikar,595932,Punjabi,4.9,Authentic cuisine,200-200-0200,12
201,Uttar Pradesh Delights,Siddipet,904514,South Indian,3.8,Great views,201-201-0201,14
202,Flavors of India,Siddipet,227308,Punjabi,4.3,Authentic cuisine,202-202-0202,17
203,Kashmiri Kitchen,Siddipet,851543,Kashmiri,4.1,Family-friendly,203-203-0203,14
204,Biryani Bliss,Siddipet,869787,Punjabi,3.3,Authentic cuisine,204-204-0204,13
205,Uttar Pradesh Delights,Tenali,541763,Kashmiri,4.2,Family-friendly,205-205-0205,20
206,Royal Tandoor,Tenali,949331,Kashmiri,3.2,Family-friendly,206-206-0206,20
207,Gujarati Grace,Tenali,644047,Kashmiri,4.8,Family-friendly,207-207-0207,20
208,Rajasthani Ruchira,Tenali,826833,North Indian,3.4,Cozy atmosphere,208-208-0208,10
209,Uttar Pradesh Delights,Lonavala,905881,South Indian,4.1,Great views,209-209-0209,17
210,Curry House,Lonavala,671998,Punjabi,4.7,Authentic cuisine,210-210-0210,10
211,Royal Tandoor,Lonavala,442177,Punjabi,4.7,Authentic cuisine,211-211-0211,11
212,Gujarati Grace,Lonavala,325792,Kashmiri,3.5,Family-friendly,212-212-0212,16
213,Dosa Delights,Dhamtari,586011,Punjabi,4.3,Authentic cuisine,213-213-0213,19
214,Spice Palace,Dhamtari,705663,South Indian,3.4,Great views,214-214-0214,12
215,Curry House,Dhamtari,937836,Kashmiri,4.4,Family-friendly,215-215-0215,20
216,Bengali Bites,Dhamtari,488378,Kashmiri,3.6,Family-friendly,216-216-0216,16
217,Tandoori Treats,Thiruvananthapuram,794338,Punjabi,4.2,Authentic cuisine,217-217-0217,13
218,Namaste Kitchen,Thiruvananthapuram,961302,South Indian,4.5,Great views,218-218-0218,11
219,Bengali Bites,Thiruvananthapuram,721490,South Indian,3.9,Great views,219-219-0219,10
220,Samosa Street,Thiruvananthapuram,887141,Kashmiri,3.2,Family-friendly,220-220-0220,16
221,Chaat Corner,Prayagraj,318291,North Indian,3.9,Cozy atmosphere,221-221-0221,12
222,Dosa Delights,Prayagraj,312049,Kashmiri,3.6,Family-friendly,222-222-0222,12
223,Paneer Paradise,Prayagraj,871857,North Indian,4.4,Cozy atmosphere,223-223-0223,17
224,Uttar Pradesh Delights,Prayagraj,333778,South Indian,3.3,Great views,224-224-0224,11
225,Bengali Bites,Gyalshing,400953,North Indian,3.8,Cozy atmosphere,225-225-0225,11
226,Flavors of India,Gyalshing,374851,Kashmiri,3.8,Family-friendly,226-226-0226,14
227,Bengali Bites,Gyalshing,164902,North Indian,4.8,Cozy atmosphere,227-227-0227,15
228,Taste of India,Gyalshing,625277,South Indian,3.2,Great views,228-228-0228,13
229,Spice Palace,Amravati,693144,North Indian,4.8,Cozy atmosphere,229-229-0229,15
230,Taste of India,Amravati,902531,Kashmiri,3.6,Family-friendly,230-230-0230,13
231,Tandoori Treats,Amravati,455727,North Indian,4.6,Cozy atmosphere,231-231-0231,13
232,Royal Tandoor,Amravati,420169,Punjabi,4.3,Authentic cuisine,232-232-0232,19
233,Biryani Bliss,Jagityal,652475,South Indian,3.8,Great views,233-233-0233,16
234,Namaste Kitchen,Jagityal,185055,South Indian,4.8,Great views,234-234-0234,16
235,Curry House,Jagityal,564140,Punjabi,3.2,Authentic cuisine,235-235-0235,14
236,Paneer Paradise,Jagityal,268445,South Indian,4.2,Great views,236-236-0236,18
237,Tandoori Treats,Summer Hill,856871,South Indian,4.4,Great views,237-237-0237,13
238,Biryani Bliss,Summer Hill,325242,Punjabi,4.6,Authentic cuisine,238-238-0238,20
239,Flavors of India,Summer Hill,503371,South Indian,3.9,Great views,239-239-0239,18
240,Bengali Bites,Summer Hill,725630,South Indian,4.7,Great views,240-240-0240,17
241,Punjab Spice,Sawantwadi,329662,Kashmiri,3.0,Family-friendly,241-241-0241,15
242,Kashmiri Kitchen,Sawantwadi,455938,North Indian,3.1,Cozy atmosphere,242-242-0242,12
243,Kashmiri Kitchen,Sawantwadi,886977,Punjabi,4.6,Authentic cuisine,243-243-0243,14
244,Punjab Spice,Sawantwadi,171897,South Indian,4.7,Great views,244-244-0244,11
245,Gujarati Grace,Serchhip,683652,North Indian,4.6,Cozy atmosphere,245-245-0245,16
246,Mughalai Magic,Serchhip,269043,South Indian,3.2,Great views,246-246-0246,13
247,Spice Palace,Serchhip,182320,North Indian,4.1,Cozy atmosphere,247-247-0247,11
248,Kashmiri Kitchen,Serchhip,657092,South Indian,4.5,Great views,248-248-0248,16
249,Punjab Spice,Akola,142972,South Indian,4.1,Great views,249-249-0249,13
250,Chaat Corner,Akola,182726,North Indian,4.7,Cozy atmosphere,250-250-0250,20
251,Samosa Street,Akola,415442,Kashmiri,3.1,Family-friendly,251-251-0251,19
252,Uttar Pradesh Delights,Akola,929031,Kashmiri,4.6,Family-friendly,252-252-0252,18
253,Punjab Spice,Bathinda,979364,Kashmiri,4.1,Family-friendly,253-253-0253,20
254,Taste of India,Bathinda,240159,North Indian,4.4,Cozy atmosphere,254-254-0254,10
255,Spice Palace,Bathinda,530560,North Indian,3.9,Cozy atmosphere,255-255-0255,20
256,Taste of India,Bathinda,738133,South Indian,4.2,Great views,256-256-0256,14
257,Uttar Pradesh Delights,Nagaur,108637,Punjabi,4.3,Authentic cuisine,257-257-0257,12
258,Kashmiri Kitchen,Nagaur,341679,South Indian,3.9,Great views,258-258-0258,11
259,Curry House,Nagaur,797306,Punjabi,4.4,Authentic cuisine,259-259-0259,15
260,Chaat Corner,Nagaur,613915,North Indian,4.3,Cozy atmosphere,260-260-0260,16
261,Samosa Street,Margao,904942,South Indian,4.7,Great views,261-261-0261,14
262,Bengali Bites,Margao,226373,North Indian,3.9,Cozy atmosphere,262-262-0262,11
263,Chaat Corner,Margao,160542,Kashmiri,3.4,Family-friendly,263-263-0263,11
264,Flavors of India,Margao,185438,Punjabi,3.9,Authentic cuisine,264-264-0264,13
265,Punjab Spice,Pali,313317,Kashmiri,4.0,Family-friendly,265-265-0265,11
266,Taste of India,Pali,361937,Punjabi,4.9,Authentic cuisine,266-266-0266,14
267,Punjab Spice,Pali,430343,North Indian,3.5,Cozy atmosphere,267-267-0267,20
268,Royal Tandoor,Pali,910220,Punjabi,4.3,Authentic cuisine,268-268-0268,19
269,Bengali Bites,Khammam,691111,South Indian,4.0,Great views,269-269-0269,12
270,Chaat Corner,Khammam,993652,Kashmiri,3.9,Family-friendly,270-270-0270,13
271,Dosa Delights,Khammam,131784,Punjabi,4.1,Authentic cuisine,271-271-0271,16
272,Paneer Paradise,Khammam,255934,South Indian,4.2,Great views,272-272-0272,17
273,Flavors of India,Pasighat,762347,Punjabi,4.3,Authentic cuisine,273-273-0273,12
274,Spice Palace,Pasighat,532707,Punjabi,4.2,Authentic cuisine,274-274-0274,10
275,Uttar Pradesh Delights,Pasighat,150779,Kashmiri,4.9,Family-friendly,275-275-0275,20
276,Rajasthani Ruchira,Pasighat,389072,Punjabi,3.8,Authentic cuisine,276-276-0276,10
277,Royal Tandoor,Kurnool,714809,South Indian,3.8,Great views,277-277-0277,11
278,Andhra Aromas,Kurnool,473013,South Indian,5.0,Great views,278-278-0278,10
279,Bengali Bites,Kurnool,985107,South Indian,4.2,Great views,279-279-0279,10
280,Andhra Aromas,Kurnool,860563,South Indian,4.2,Great views,280-280-0280,20
281,Uttar Pradesh Delights,Ambala,992494,Punjabi,4.2,Authentic cuisine,281-281-0281,20
282,Biryani Bliss,Ambala,763844,South Indian,4.1,Great views,282-282-0282,12
283,Namaste Kitchen,Ambala,559224,North Indian,4.4,Cozy atmosphere,283-283-0283,17
284,Biryani Bliss,Ambala,527598,Kashmiri,4.3,Family-friendly,284-284-0284,12
285,Punjab Spice,Manali,432284,South Indian,3.2,Great views,285-285-0285,10
286,Andhra Aromas,Manali,103038,South Indian,3.4,Great views,286-286-0286,18
287,Taste of India,Manali,126937,North Indian,3.0,Cozy atmosphere,287-287-0287,16
288,Spice Palace,Manali,564516,Kashmiri,4.9,Family-friendly,288-288-0288,14
289,Paneer Paradise,Haldia,998052,Kashmiri,5.0,Family-friendly,289-289-0289,20
290,Spice Palace,Haldia,335383,Punjabi,4.2,Authentic cuisine,290-290-0290,13
291,Biryani Bliss,Haldia,170690,Punjabi,4.3,Authentic cuisine,291-291-0291,13
292,Royal Tandoor,Haldia,549489,Kashmiri,3.3,Family-friendly,292-292-0292,13
293,Samosa Street,Jamnagar,313932,Kashmiri,3.4,Family-friendly,293-293-0293,12
294,Bengali Bites,Jamnagar,522828,Kashmiri,3.8,Family-friendly,294-294-0294,15
295,Bengali Bites,Jamnagar,858384,North Indian,3.9,Cozy atmosphere,295-295-0295,16
296,Rajasthani Ruchira,Jamnagar,635096,Kashmiri,3.8,Family-friendly,296-296-0296,14
297,Andhra Aromas,Bhongir,470466,Punjabi,4.5,Authentic cuisine,297-297-0297,12
298,Mughalai Magic,Bhongir,646000,Kashmiri,4.7,Family-friendly,298-298-0298,11
299,Kashmiri Kitchen,Bhongir,856512,North Indian,4.9,Cozy atmosphere,299-299-0299,13
300,Paneer Paradise,Bhongir,344975,Kashmiri,3.4,Family-friendly,300-300-0300,16
301,Chaat Corner,Nagargao,771168,Punjabi,4.2,Authentic cuisine,301-301-0301,13
302,Taste of India,Nagargao,726212,North Indian,4.4,Cozy atmosphere,302-302-0302,20
